verb,count,noun,count,adj,count,adv,count
vermissen,243.0,Vorsicht,310,21.,40.0,eifersüchtig,114.0
schnappen,241.0,Witz,310,klassisch,40.0,Sofort,114.0
erinneren,241.0,Lied,309,romantisch,40.0,hinaus,114.0
leiden,240.0,Hotel,308,treu,40.0,eng,113.0
behaupten,240.0,Tisch,306,zukünftig,40.0,schuld,112.0
bestätigen,240.0,Frieden,305,speziell,40.0,frisch,112.0
beschäftigen,239.0,Rede,304,Armer,40.0,selten,111.0
beobachten,238.0,Zahl,301,nackt,40.0,korrekt,111.0
warst,237.0,Flugzeug,301,technisch,40.0,sagtest,109.0
vorbereiten,237.0,Jungs,299,tragisch,40.0,Runter,107.0
springen,231.0,Weihnachten,299,genetisch,40.0,war's,106.0
wachsen,230.0,Partner,298,illegal,40.0,offenbar,105.0
verbieten,229.0,Klasse,297,brav,39.0,knapp,105.0
trennen,228.0,Scheiß,297,winzig,39.0,scharf,105.0
erleben,226.0,Zug,292,mutig,39.0,immerhin,105.0
bin's,225.0,Tom,292,ursprünglich,39.0,schwarz,104.0
gib,224.0,Willkommen,291,wissenschaftlich,39.0,anscheinend,104.0
erscheinen,224.0,Meister,291,ehemalig,39.0,wild,104.0
Verdammen,223.0,Planet,291,gottverdammt,39.0,nackt,104.0
ausgehen,222.0,gute,290,geil,39.0,übrig,103.0
dienen,220.0,Anruf,290,täglich,38.0,worum,103.0
meinst,219.0,Bombe,290,freundlich,38.0,dennoch,103.0
riechen,219.0,Wein,289,einziger,38.0,rechtzeitig,103.0
feiern,219.0,Geheimnis,288,Commander,38.0,normalerweise,103.0
beschützen,219.0,Entscheidung,286,neural,38.0,teuer,103.0
mitbringen,218.0,Bleib,285,irisch,38.0,durcheinander,102.0
angreifen,218.0,Sonne,284,30.,37.0,bestimmen,101.0
geh,216.0,Bord,284,vereinigt,37.0,Wunderbar,101.0
enden,216.0,Bier,281,5.,37.0,jederzeit,101.0
starten,216.0,Ohr,279,blind,37.0,zuletzt,100.0
ermorden,214.0,Gast,278,geboren,37.0,möglicherweise,100.0
bemerken,214.0,Kamera,277,sogenannter,37.0,nieder,99.0
stammen,213.0,Kontrolle,277,sexuell,37.0,lieb,99.0
warnen,213.0,Hölle,275,sanft,36.0,Einfach,99.0
existieren,213.0,Richter,273,intern,36.0,klug,98.0
erwähnen,211.0,Gang,272,erfolgreich,36.0,dick,98.0
gelten,210.0,Sex,272,bemerkenswert,36.0,schlau,98.0
erfüllen,209.0,Richtung,271,ausgezeichnet,35.0,neulich,98.0
zurückkehren,209.0,Angriff,270,wirklich,35.0,unwichtig,97.0
auftauchen,209.0,Krankenhaus,270,schlau,35.0,vorn,97.0
packen,208.0,Hochzeit,270,sofortig,35.0,Unmöglich,96.0
brennen,206.0,Spur,269,Letzter,35.0,vernünftig,95.0
entführen,206.0,Erfolg,269,brutal,35.0,zweitens,95.0
kommst,203.0,Fisch,269,Toller,35.0,langweilig,95.0
entkommen,202.0,Preis,266,In-and-Out,35.0,leicht,95.0
reisen,201.0,Liebling,265,faul,34.0,-Und,95.0
aufnehmen,201.0,Fräulein,265,äußerer,34.0,hallo,94.0
nutzen,200.0,Schritt,264,irgendwelch,34.0,vertraut,93.0
Möchtest,198.0,Rat,263,unangenehm,34.0,freundlich,93.0
wagen,197.0,Farbe,262,historisch,34.0,hungrig,91.0
klingeln,196.0,Sergeant,262,unterschiedlich,34.0,clever,91.0
geht's,196.0,Teppich,260,attraktiv,34.0,freiwillig,90.0
begegnen,194.0,Vampir,260,lebendig,33.0,sprich,90.0
drücken,193.0,Blume,259,international,33.0,weshalb,90.0
wetten,192.0,Loch,259,auf's,33.0,wundervoll,90.0
laden,192.0,Risiko,258,gelb,33.0,wovon,89.0
reparieren,192.0,Rolle,258,fantastisch,33.0,abends,89.0
untersuchen,191.0,Wunder,257,düster,33.0,eilig,88.0
begleiten,190.0,Baum,257,stinkend,32.0,gemein,88.0
beeilen,190.0,Agent,257,friedlich,32.0,Nett,88.0
überprüfen,190.0,Bewegung,256,fair,32.0,lebendig,88.0
entwickeln,188.0,Tor,256,prächtig,32.0,auseinander,87.0
streiten,187.0,Möglichkeit,255,komplett,32.0,hoch,87.0
beruhigen,187.0,tote,254,klingonisch,32.0,wolltest,86.0
schulden,186.0,Offizier,253,real,32.0,eh,86.0
ankommen,185.0,Überraschung,251,nötig,31.0,einverstanden,86.0
verbinden,185.0,Chef,251,22.,31.0,albern,86.0
berühren,185.0,Glas,250,angenehm,31.0,dauernd,86.0
trauen,184.0,System,250,hilflos,31.0,erfreut,85.0
beten,184.0,Kumpel,249,ehrenwert,31.0,gehst,85.0
